coral-colored,2
coloring,80
canary-colored,2
technicolor,14
color-coordinated,4
watercolor,24
fawncolored,1
local-color,1
slate-colored,4
off-color,10
discolorations,1
color,2121
wine-colored,5
colorado,459
color-code,1
colorlessly,1
colorado-born,1
copper-colored,14
tobacco-colored,1
green-colored,1
bicolors,1
color-blind,11
coloristic,3
claret-colored,1
raspberry-colored,3
all-colored,1
cherry-colored,3
colorless,72
hay-colored,4
colored-pencil,1
four-color,8
mulberry-colored,2
beautifully-colored,1
colored,514
multi-color,1
color-coding,1
colorings,5
honey-colored,7
plain-colored,1
mocha-colored,1
tricolored,2
sapphire-colored,1
cream-colored,35
color-bar,1
color-field,1
colorists,1
light-colored,16
gold-colored,6
colorize,1
no-color,3
colorectal,7
ebony-colored,1
tricolor,7
varicolored,5
tricolors,2
ivory-colored,3
putty-colored,3
chocolate-colored,5
butter-colored,1
multicolored,47
cranberry-colored,1
pearl-colored,1
solid-color,2
neon-colored,2
discoloring,3
puce-colored,1
all-color,1
oyster-colored,1
smoke-colored,1
russet-colored,2
full-color,16
coffee-colored,4
teal-colored,2
color-tv,4
metrocolor,1
cocoa-colored,3
single-color,1
oxblood-colored,1
discolor,5
colorado-based,2
flame-colored,3
tawny-colored,1
color-coded,12
multi-colored,7
soot-colored,1
orange-colored,2
well-colored,1
wheat-colored,3
bile-colored,1
lighter-colored,2
ocher-colored,1
copper-color,1
colors,817
different-colored,9
discolored,29
colorized,1
peach-colored,8
sienna-colored,1
brightcolored,2
bruise-colored,3
color-fast,1
straw-colored,11
seven-colored,3
pastel-colored,5
pastelcolored,1
particolored,2
discoloration,12
rustcolored,2
pale-colored,2
rose-colored,20
amber-colored,5
stone-colored,1
saffron-colored,1
bright-colored,11
plum-colored,6
rust-colored,20
creamcolored,1
rain-colored,1
decolorizing,1
discolors,2
clay-colored,4
walnut-colored,1
colorblind,3
snuff-colored,2
coloreds,35
many-colored,7
blue-colored,1
ambercolored,1
pumpkin-colored,3
colorist,4
color/surface,4
aqua-colored,1
liver-colored,2
watercolors,45
carrot-colored,1
watercolorist,1
bicolor,1
lemon-colored,4
purple-colored,1
color-screen,1
agate-colored,3
colorations,2
sherbet-colored,1
blood-colored,6
gaudy-colored,1
buff-colored,4
mustard-colored,2
burgundy-colored,2
fullcolor,1
hand-colored,2
brown-colored,1
highly-colored,1
brass-colored,1
dark-colored,3
buffcolored,1
coloration,45
colorfully,17
coloradan,5
colorfast,3
sherry-colored,1
ochre-colored,1
aluminum-colored,1
huff-colored,2
rainbow-colored,8
rat-colored,2
metallic-colored,1
kodacolor,2
water-color,1
muddy-colored,1
colorful,287
lavender-colored,2
caramel-colored,7
dun-colored,6
mahogany-colored,1
parti-colored,1
camel-colored,1
flesh-colored,6
two-color,1
tan-colored,1
sand-colored,6
lead-colored,1
lightcolored,1
salmon-colored,2
color-television,1
two-colored,1
darker-colored,1
whey-colored,2
coloratura,8
rosy-colored,1
colorizing,1
silver-colored,7
steel-colored,4
grape-colored,1
champagne-colored,2
three-color,1
iron-colored,2
plumcolored,1
dull-colored,2
high-colored,6
solid-colored,1
jewel-colored,1
remanding,1
explorers,83
mactavish,2
dexterous,10
chenille,19
northfield,5
eduation,3
orchestrally,1
subverting,14
salkeld,1
baiter,3
peels,31
dalia,1
warta,1
makingan,1
redivided,1
sashays,6
underwriter,16
slimming,12
coatless,5
outwait,1
affray,3
snap,331
league,1516
demobilised,1
meticulous,91
worldliness,13
